X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13153479.0815,4056138.0662,16768,460474d1-d494-4638-a8ca-ea86728dfa9c,Destroyed (>50%),Utility Misc Structure
-13153554.929,4056159.9988,16769,ff42ded6-8972-4f7e-b9d6-b7442d53cdce,Destroyed (>50%),Utility Misc Structure
-13151860.7437,4056112.2133,16770,97dcf479-c528-4a68-98d5-6682eb303356,Destroyed (>50%),Single Family Residence Single Story
-13151850.6135,4056138.7453,16771,f049b700-24b9-4bc1-8b28-28675121eacc,Affected (1-9%),Single Family Residence Single Story
-13151828.8564,4056160.5681,16772,5910d462-a311-42e4-9fc8-4244ff33650e,Destroyed (>50%),Single Family Residence Single Story
-13151805.0094,4056184.579,16773,e410a60f-6fb4-44b2-9a67-b659f534d16f,Destroyed (>50%),Single Family Residence Multi Story
-13151781.399,4056187.0211,16774,abdc9b56-a472-4bd2-9e7f-875a0f22f50a,Destroyed (>50%),Single Family Residence Single Story
-13151746.81,4056186.8109,16775,2d890158-aec7-4bbf-96c2-26da545be2b5,Affected (1-9%),Single Family Residence Single Story
-13151724.7598,4056214.4637,16776,93f8c5c8-eda1-49f2-9e55-e61e6526b6b4,Destroyed (>50%),Single Family Residence Single Story
-13151708.4483,4056253.061,16777,3e14962c-8dd1-4fd2-ad72-b75fb81b079c,Destroyed (>50%),Single Family Residence Single Story
-13152316.7936,4056087.1398,16778,b0bf48f5-f9cc-4e8e-909d-e640fe8fb81a,Affected (1-9%),Utility Misc Structure
-13152300.7445,4056109.9557,16779,97d2719b-ebd1-4e27-bd18-077ea44ee413,No Damage,Single Family Residence Single Story
-13152266.6001,4056126.7428,16780,ec3879aa-83eb-4762-af4f-983b7aee59f7,No Damage,Utility Misc Structure
-13148365.3365,4054838.9466,16781,0f527d26-25b6-462a-9af0-5ce9da6360f5,Minor (10-25%),Single Family Residence Multi Story
-13153272.9674,4056619.5942,16782,2f32b45a-53fc-4138-b3bd-e333db8ff92f,No Damage,Single Family Residence Multi Story
-13153264.4772,4056638.55,16783,dce16e4c-47ff-408b-a152-6938c2a464c2,Destroyed (>50%),Single Family Residence Multi Story
-13153246.1337,4056654.2764,16784,7ffd06e0-86b8-4a90-9ea7-9a50063bd139,Destroyed (>50%),Single Family Residence Single Story
-13153231.5836,4056676.8196,16785,1df1153d-1454-4980-a6f9-861676e79ed5,Destroyed (>50%),Single Family Residence Multi Story
-13153217.2929,4056696.4105,16786,e8a7e4e1-3b87-455e-81d8-acc27c6ffb98,Destroyed (>50%),Single Family Residence Multi Story
-13153227.4765,4056720.8318,16787,89a5d3fb-c918-4a80-819b-41c8e2b0b2a3,Destroyed (>50%),Single Family Residence Multi Story
-13151911.4841,4056373.0385,16789,e6f87a30-9cf6-40d4-8245-b9ebd2efd1ef,Destroyed (>50%),Single Family Residence Single Story
-13151707.0158,4056289.7131,16790,c6e2953b-3d4a-43a2-9de1-df605c5e3a1c,Affected (1-9%),Single Family Residence Single Story
-13151739.1504,4056288.4435,16791,5e1be2c4-fb53-4d99-bff6-ca41ed590f8f,Destroyed (>50%),Single Family Residence Single Story
-13151757.3325,4056277.6967,16792,d9e2fccc-986e-48a2-be66-d1e80c4e69b4,Destroyed (>50%),Single Family Residence Single Story
-13153753.4258,4056210.7321,16793,02b4b595-3d14-4139-b355-d8db0343ef8f,No Damage,Single Family Residence Multi Story
-13149439.3305,4053351.4118,16794,062ffe01-1f4f-4ac5-abf2-95328d35caee,No Damage,Utility Misc Structure
-13149587.211,4053318.6291,16795,366b69df-917f-4a96-9df9-aafd372ed0e3,No Damage,Utility Misc Structure
-13152063.2226,4056094.7746,16796,2f1bcb6b-4b16-409c-8487-4f2c3e47bb7f,Destroyed (>50%),Single Family Residence Single Story
-13152044.2147,4056124.2146,16797,1bea458e-8ba7-4112-a1ad-2b4e9236d0e6,Destroyed (>50%),Single Family Residence Single Story
-13152039.698,4056107.1947,16798,3d2f487a-bf70-41bc-82e0-b0261551f24d,Destroyed (>50%),Utility Misc Structure
-13152030.4938,4056133.728,16799,c878d513-6414-466d-9ad1-92eb54db1bf6,Destroyed (>50%),Utility Misc Structure
-13152025.0808,4056106.7257,16800,638b1a97-c019-4f0c-b9c9-2aa11436384e,Destroyed (>50%),Single Family Residence Single Story
-13151975.5337,4056120.3225,16801,6adf70e9-ce94-4be4-a7ba-0cf00c6724a3,Destroyed (>50%),Single Family Residence Single Story
-13151947.6985,4056119.4043,16802,de10c531-5215-4fb7-9c5b-c93aafdc8bfa,Destroyed (>50%),Single Family Residence Single Story
-13151932.3999,4056128.9127,16803,8673ec0d-e70f-482b-8ac3-1efc85c62c7c,Destroyed (>50%),Utility Misc Structure
-13151901.6794,4056116.914,16804,963e6185-4034-4b05-aee5-167a8e902bf4,Destroyed (>50%),Single Family Residence Single Story
-13151880.6366,4056158.2754,16805,e6e2b340-1381-44da-98f0-61559149e4c3,Destroyed (>50%),Single Family Residence Single Story
-13151864.4871,4056191.1889,16806,39241478-29c3-48a2-9af4-debd0d30c39a,Destroyed (>50%),Single Family Residence Single Story
-13151848.5903,4056214.7605,16807,4076c633-e355-4d0a-a789-ce1a959b7bcc,Destroyed (>50%),Single Family Residence Single Story
-13151842.1366,4056234.8762,16808,d82d4d95-7e84-4a06-b98a-2ed12a65a79d,Destroyed (>50%),Single Family Residence Single Story
-13151831.5999,4056277.7704,16809,b27041b1-c01c-4be4-ac12-81a28ea62017,No Damage,Single Family Residence Single Story
-13151801.0558,4056277.8773,16810,1fef51be-1d45-4da1-998e-eefc2d72aa7b,No Damage,Single Family Residence Single Story
-13152571.5996,4056242.4961,16811,5ac7be96-be15-484d-b413-834b5d3a8cb0,Destroyed (>50%),Motor Home
-13152577.0151,4056228.1334,16812,9a8e95f6-8be8-4d59-a8e3-475f94afd060,Destroyed (>50%),Single Family Residence Single Story
-13152603.5519,4056229.4008,16813,c50ad401-e4ab-4a93-a8c5-4b689353c5da,Destroyed (>50%),Motor Home
-13152611.2515,4056240.3819,16814,091dc23a-a42b-4368-93ea-e1949254cb7b,Destroyed (>50%),Motor Home
-13152599.7122,4056207.1105,16815,6144c336-6134-4d57-b53f-8f995ebcba51,Destroyed (>50%),Single Family Residence Multi Story
-13152617.5573,4056204.3482,16816,7b07bbc5-1138-4f9b-a30c-8cf2798a3a8f,Destroyed (>50%),Single Family Residence Multi Story
-13152623.6332,4056205.6228,16817,95866546-8d75-4878-a7cc-89941bb23c1c,Destroyed (>50%),Motor Home
-13152038.4806,4058103.2151,16818,5dfcf505-ecc3-457a-9553-cc604ea38929,Destroyed (>50%),Single Family Residence Single Story
-13151981.7406,4058101.8311,16819,dee5c9e7-cdff-45ce-afc3-767323f41a5e,Destroyed (>50%),Single Family Residence Single Story
-13151878.0865,4057933.1548,16820,18ed684a-2b0b-46b2-9514-b18730e64c34,Destroyed (>50%),Single Family Residence Single Story
-13151863.7822,4057916.3494,16821,37b652dd-bc33-4d56-b770-b4b9c1785f4a,Destroyed (>50%),Single Family Residence Single Story
-13152037.7355,4058130.3775,16822,b293a358-1730-4702-a13f-2e770ab9d614,No Damage,Single Family Residence Single Story
-13151958.5146,4058090.6174,16823,d96394cc-c604-4e9d-a8ef-dd8fa9a4e44f,Destroyed (>50%),Utility Misc Structure
-13152272.3491,4056068.1256,16824,7a853313-8a45-4e63-836a-c471b81c6605,Destroyed (>50%),Single Family Residence Single Story
-13152288.1938,4056074.88,16825,da220395-0955-44d0-8098-e332d5cc1568,Destroyed (>50%),Utility Misc Structure
-13152310.7158,4056069.8924,16826,29f30ede-4420-42d0-a165-289a388cd9db,Minor (10-25%),Single Family Residence Single Story
-13152297.8369,4056074.0846,16827,2bb8e0c9-6359-4cb3-880f-86eef6f605bd,Destroyed (>50%),Utility Misc Structure
-13151880.661,4056384.6985,16828,066ba795-e8f3-4bb0-bba8-25bb8847051f,Destroyed (>50%),Utility Misc Structure
-13151890.1955,4056385.3753,16829,95bf91ea-98b3-48fc-8829-fd1374d12142,Destroyed (>50%),Single Family Residence Single Story
